conversation_id	turn_id	id	query	original	sparse
108	3	108_3	What are other fire-followers in the chaparral ecosystem besides whispering bells?	Cool name!  What are other fire-followers?	"{""What are other fire-followers in the chaparral ecosystem besides whispering bells?"": 0.10884509318815927, ""What are other fire-followers in the chaparral ecosystem besides the whispering bells?"": 0.10497815820711674, ""What are other fire-followers besides whispering bells?"": 0.10322245086559338, ""What are other fire-followers besides the whispering bells?"": 0.10165801443958032, ""What are other fire-followers in the chaparral ecosystem?"": 0.10102880286286615, ""What are some other fire-followers in the chaparral ecosystem besides whispering bells?"": 0.09806135248087673, ""What are other fire-followers in a chaparral ecosystem besides whispering bells?"": 0.09749901324890212, ""What are some other fire-followers in the chaparral ecosystem besides the whispering bells?"": 0.09597482426772799, ""What are other fire-followers in the chaparral ecosystem besides the wildflower whispering bells?"": 0.09451944752784631, ""What are other fire-followers in the chaparral ecosystems besides whispering bells?"": 0.09421284291133097}"
108	4	108_4	More broadly, what are the effects of agriculture on the longleaf pine ecosystem?	Let’s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture?	"{""More broadly, what are the effects of agriculture on the longleaf pine ecosystem?"": 0.11084371480147835, ""More broadly, what are the effects of agriculture on the chaparral ecosystem?"": 0.10917004418897132, ""What are the effects of agriculture on the longleaf pine ecosystem?"": 0.09972333978233053, ""Let\u2019s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture on the longleaf pine ecosystem?"": 0.09930477408833617, ""More broadly, what are the effects of agriculture on ecosystems?"": 0.0984220100055984, ""Let\u2019s talk about other environmental influences besides fire. More broadly, what are the effects of agriculture on the chaparral ecosystem?"": 0.09786851769842293, ""More broadly, what are the effects of agriculture in the chaparral ecosystem?"": 0.09669008350631488, ""What are the effects of agriculture on the chaparral ecosystem?"": 0.09615542488610025, ""More broadly, what are the effects of agriculture on the longleaf pine ecosystem besides fire?"": 0.09602148761920504, ""More broadly, what are the effects of agriculture on the longleaf ecosystem?"": 0.09580060342324213}"
108	5	108_5	Can burning fuels cause desertification?	Can it cause desertification?	"{""Can burning fuels cause desertification?"": 0.1218630878781492, ""Can burning fossil fuels cause desertification?"": 0.11318398443800773, ""Can burning wood and coal cause desertification?"": 0.1092566178460312, ""Can burning fuels such as wood and coal cause desertification?"": 0.10877866213177369, ""Can burning fuels like wood and coal cause desertification?"": 0.10593545056309957, ""Can burning fuels such as wood or coal cause desertification?"": 0.09325022472789858, ""Can burning wood or coal cause desertification?"": 0.08822267366863021, ""Can burning fuels like wood or coal cause desertification?"": 0.08815648083168444, ""Can burning fuel cause desertification?"": 0.08578776654228767, ""Can burning fuels cause desertification in the United States?"": 0.0855650513724377}"
108	6	108_6	What does it mean to be tired in the desert?	What does it mean to be tired?	"{""What does it mean to be tired in the desert?"": 0.10799930739975953, ""What does it mean to be tired in relation to the chaparral ecosystem?"": 0.10764245209754154, ""What does it mean to be tired in the desert ecosystem?"": 0.10363593790499877, ""What does it mean to be tired in relation to desertification?"": 0.10311270889437632, ""What does it mean to be tired?"": 0.1027365086856677, ""What does it mean to be tired in a desert ecosystem?"": 0.09693618451161293, ""What does it mean to be tired in the desertification context?"": 0.09534872270352934, ""What does it mean to be tired in relation to the desertification process?"": 0.09437912593987885, ""What does it mean to be tired in relation to the desert?"": 0.09431738000339479, ""What does it mean to be tired in regards to the chaparral ecosystem?"": 0.09389167185924024}"
108	7	108_7	How are agroecology and organic farming related?	That sounds like organic farming.  How are they related?	"{""How are agroecology and organic farming related?"": 0.12193922235146101, ""How is agroecology and organic farming related?"": 0.11158543612702988, ""How is agroecology related to organic farming?"": 0.10469734333107782, ""How are regenerative agriculture and organic farming related?"": 0.1042533523541138, ""How are organic farming and agroecology related?"": 0.09820300348357242, ""How is regenerative agriculture related to organic farming?"": 0.09511868997615835, ""What is organic farming and agroecology? How are they related?"": 0.09248897179919452, ""How are Agroecology and organic farming related?"": 0.09122234752379618, ""How is organic farming and agroecology related?"": 0.09098448395451737, ""How is regenerative agriculture and organic farming related?"": 0.08950714909907866}"
108	8	108_8	Dose organic farming reduce global warming, and if so how?	Does organic farming reduce global warming, and if so, how?	"{""Does organic farming reduce global warming, and if so how?"": 0.09538522536182549, ""Does organic farming reduce global warming, and if so, how?"": 0.09335345459685804, ""Dose organic farming reduce global warming, and if so how?"": 0.10681440415883979, ""Dose organic farming reduce global warming, and if so, how?"": 0.10459917421014933, ""Dose organic farming reduce global warming? And if so, how?"": 0.09109018242095365, ""Dose organic farming reduce global warming? and if so, how?"": 0.0896723008311313, ""Does organic farming reduce global warming? And if so, how?"": 0.08877229333151843, ""Do organic farming reduce global warming, and if so how?"": 0.08782691818400228}"
109	1	109_1	Why do cats eat plastic?	Why do cats eat plastic?	
109	2	109_2	Will it kill a cat?	Will it kill him?	"{""Will it kill a cat?"": 0.11045154470966854, ""Will it kill my cat?"": 0.10564511509982116, ""Will it kill a cat that shows pica?"": 0.1043916257015354, ""Will it kill him?"": 0.1037681389897261, ""Will it kill a cat that eats plastic?"": 0.10303359468499544, ""Will it kill a cat that has pica?"": 0.09671284004896438, ""Will it kill your cat?"": 0.09574482899758532, ""Will it kill the cat that shows pica?"": 0.09475942413728675, ""Will eating plastic kill a cat?"": 0.0938895370501001, ""Will it kill a cat with pica?"": 0.09160335058031681}"
109	3	109_3	Will eating plastic kill my cat?	What?  No.  Will eating plastic kill my cat?	"{""Will eating plastic kill my cat?"": 0.15664856858875928, ""What? Will eating plastic kill my cat?"": 0.11758862350033579, ""What? No. Will eating plastic kill my cat?"": 0.0979070555148987, ""What is the answer to the question Will eating plastic kill my cat?"": 0.09717872067420502, ""What is the answer to the question: Will eating plastic kill my cat?"": 0.09423001063036225, ""What is the answer to the question, Will eating plastic kill my cat?"": 0.0940091702422333, ""What does eating plastic kill my cat?"": 0.09166755681133282, ""What is the answer to the question, will eating plastic kill my cat?"": 0.08819891395901212, ""Will eating plastic kill my cat.?"": 0.08288410455603824, ""What? No. Will eating plastic kill my cat."": 0.07968727552282247}"
109	4	109_4	How do I get my cat to stop ingesting non-food items?	How do I get him to stop?	"{""How do I get my cat to stop ingesting non-food items?"": 0.11069860308058853, ""How do I get my cat to stop eating plastic?"": 0.10912817881553454, ""How do I get my cat to stop ingesting pica?"": 0.10612414541083687, ""How do I get my cat to stop eating pica?"": 0.10501020936830528, ""How do I get my cat to stop ingesting plastic?"": 0.10239491699890953, ""How do I get my cat to stop eating non-food items?"": 0.10032850671984518, ""How do I get a cat to stop ingesting non-food items?"": 0.09319149133190038, ""How do I get my cat to stop ingesting Pica?"": 0.09222266179586427, ""How do I get my cat to stop eating Pica?"": 0.0914579543221359, ""How do I get him to stop ingesting non-food items?"": 0.08944333215607951}"
109	5	109_5	Should I get a second cord guard for my cat?	Should I get a second one?	"{""Should I get a second cord guard for my cat?"": 0.12145163842076588, ""Should I get a second cord guard?"": 0.11598782135059506, ""Should I get a second cat guard?"": 0.10120511708760403, ""Should I get a second cord guard to keep electrical wires away from my cat?"": 0.09927247362614827, ""Should I get a second cord guard to keep electrical wires away from my cat\u2019s teeth?"": 0.09711656115146468, ""Should I get a second cord guard to keep electrical wires away from my cat's teeth?"": 0.09593331200735916, ""Should I get a second cord guard to keep wires away from my cat?"": 0.09509212612515407, ""Should I get a second Cord Guard for my cat?"": 0.09200136046273741, ""Should I get a second one for my cat?"": 0.09114040347565008, ""Should I get a second cat litter box?"": 0.09079918629252137}"
109	6	109_6	What are your cat's desires?	What are his desires?	"{""What are your cat's desires?"": 0.12292954393972176, ""What are my cat's desires?"": 0.10707738307398743, ""What are your cat's desires if you are willing to put in the time, patience and expense of a second pet?"": 0.10168485179606414, ""What are your cat's desires for a second pet?"": 0.0998618767696757, ""What are your cat's desires if you are willing to put in the time, patience, expense and expense of a second pet?"": 0.09808018985624914, ""What are your cat's desires when you are willing to put in the time, patience and expense of a second pet?"": 0.09700922739217764, ""What are your cat's desires if you are willing to put in the time, patience, and expense of a second pet?"": 0.09630708279153927, ""What are your cat's desires when you are willing to put in the time, patience, expense and expense of a second pet?"": 0.09357346436106218, ""What are my cat's desires for a second pet?"": 0.09183283429782885, ""What are your cat's desires when you are willing to put in the time, patience, and expense of a second pet?"": 0.09164354572169389}"
109	7	109_7	What does the slow blink mean?	What does the slow blink mean?	"{""What does the slow blink mean?"": 0.1250888325787176, ""What does the slow blink mean for cats?"": 0.10380433377201304, ""What does a slow blink mean?"": 0.10175376753298845, ""What does the slow blink mean in regards to cats?"": 0.09956069702944187, ""What does the slow blink mean to your cat?"": 0.0975527944104654, ""What does the slow blink mean to a cat?"": 0.09624787809686382, ""What does the slow blink mean for your cat?"": 0.09482901295196881, ""What does a slow blink mean to a cat?"": 0.09454488101600976, ""What does the Slow Blink mean?"": 0.09408870528251616, ""What does the slow blink mean in relation to cats?"": 0.09252909732901508}"
110	1	110_1	What are the benefits of cow milk?	What are the benefits of cow milk?	
110	2	110_2	What about an alternative. I’ve heard it’s also made from almonds?	What about an alternative. I’ve heard it's also made from almonds?	"{""What about an alternative. I\u2019ve heard it\u2019s also made from almonds?"": 0.10568661553353942, ""What about an alternative to cow milk. I\u2019ve heard it\u2019s also made from almonds?"": 0.10436653838449615, ""What about an alternative. I\u2019ve heard it's also made from almonds?"": 0.10151670584486969, ""What about an alternative to cow milk. I\u2019ve heard it's also made from almonds?"": 0.10044350129471402, ""What about an alternative to cow milk? I\u2019ve heard it\u2019s also made from almonds?"": 0.0996285827479376, ""What about almond milk. I\u2019ve heard it\u2019s also made from almonds?"": 0.09919507129756598, ""What is an alternative to cow milk? I\u2019ve heard it\u2019s also made from almonds?"": 0.09874733890646625, ""What about an alternative. I've heard it's also made from almonds?"": 0.09782925989635632, ""What about almond milk? I\u2019ve heard it\u2019s also made from almonds?"": 0.09693715975941158, ""What about almond milk. I\u2019ve heard it's also made from almonds?"": 0.09564922633464298}"
110	3	110_3	What is the healthiest milk substitute?	Which is healthiest?	"{""What is the healthiest milk substitute?"": 0.11261691296036372, ""Which is the healthiest milk substitute?"": 0.1097803674108192, ""Which milk is the healthiest?"": 0.1036238185230479, ""What is the healthiest milk alternative?"": 0.10061746130669583, ""Which is the healthiest milk?"": 0.09979813552188142, ""Which milk substitute is the healthiest?"": 0.09694028178510102, ""What is the healthiest milk?"": 0.09613950636155846, ""What milk is the healthiest?"": 0.09446248831947542, ""Which is the healthiest milk alternative?"": 0.09377586509647512, ""What\u2019s the healthiest milk substitute?"": 0.09224516271458191}"
110	4	110_4	Which of the dairy alternatives is the healthiest?	No, the vegan ones. Which of those alternatives is healthiest?	"{""Which of the dairy alternatives is the healthiest?"": 0.10355568595854833, ""Which of the vegan milk alternatives is the healthiest?"": 0.10329717401068492, ""Which of those milk alternatives is the healthiest?"": 0.10292966608193432, ""Which of those dairy alternatives is the healthiest?"": 0.1003807472392321, ""Which of the vegan milk alternatives is healthiest?"": 0.1003117380867223, ""Which of those milk alternatives is healthiest?"": 0.09932495588544916, ""Which of those dairy alternatives is healthiest?"": 0.09837001633533413, ""Which of the dairy alternatives is healthiest?"": 0.09793267247327443, ""Which of those vegan milk alternatives is the healthiest?"": 0.09748438728773987, ""Which of those vegan milk alternatives is healthiest?"": 0.09641295664108046}"
110	5	110_5	Can I make soy milk at home?	Can I make it at home?	"{""Can I make soy milk at home?"": 0.14409148989166023, ""Can I make my own soy milk at home?"": 0.09918052284190321, ""Can I make cow's milk at home?"": 0.09900810449740524, ""Can I make plant-based milk at home?"": 0.09800677196705003, ""Can I make almond milk at home?"": 0.0970690756223838, ""Can I make milk at home?"": 0.09362661742601332, ""Can I make coconut milk at home?"": 0.0933614014937835, ""Can I make Soy Milk at home?"": 0.09280817895405266, ""Can I make cow milk at home?"": 0.09199393432175204, ""Can I make vegan milk at home?"": 0.090853902983996}"
110	6	110_6	Why is oat milk popular now?	Oat seems popular now.  Why?	"{""Why is oat milk popular now?"": 0.11533035287318232, ""Why does oat seem popular now?"": 0.1148374101691527, ""Why is oat milk becoming popular now?"": 0.1114238635324027, ""Why is oat milk so popular now?"": 0.107725971231145, ""Why is oat milk becoming popular?"": 0.09743185496735247, ""Why is oat seem popular now?"": 0.09439233199147601, ""Why is oat milk becoming so popular now?"": 0.09250306591353182, ""Why is oat milk becoming more popular?"": 0.08999019259380313, ""Why is oat seems popular now?"": 0.08838622916007977, ""Why is oat milk a popular milk substitute?"": 0.08797872756787409}"
110	7	110_7	I’m going to bake some cookies. Which one would be the best to use?	I’m going to bake some cookies. Which one would be the best to use?	"{""I\u2019m going to bake some cookies. Which one would be the best to use?"": 0.1064362097509423, ""I\u2019m going to bake some cookies. Which milk would be the best to use?"": 0.10515209347261091, ""I\u2019m going to bake some cookies. Which oat milk would be the best to use?"": 0.10487396165482081, ""I\u2019m going to bake some cookies with oat milk. Which one would be the best to use?"": 0.1042117285266543, ""I\u2019m going to bake some cookies. Which one would be the best to use for oat milk?"": 0.10325361249325309, ""I\u2019m going to bake some cookies. Which milk substitute would be the best to use?"": 0.09924997301232362, ""I\u2019m going to bake some cookies. Which one would be the best to use with oat milk?"": 0.09525434546947217, ""I\u2019m going to bake some cookies. Which one of the dairy alternatives would be the best to use?"": 0.09453491116745513, ""I\u2019m going to bake some cookies. Which one would be the best to use as a milk substitute?"": 0.09395569303899379, ""Which oat milk would be the best to use?"": 0.09307747141347388}"
110	8	110_8	What would be second best for baking?	What would be second best?	"{""What would be second best for baking?"": 0.10573010164000186, ""What would be second best milk to use for baking?"": 0.1013898496043545, ""What would be second best when it comes to non-dairy milks?"": 0.10111616116093838, ""What would be the second best non-dairy milk to use?"": 0.09975062596740371, ""What would be second best when it comes to non-dairy milk?"": 0.09970445946882421, ""What would be the second best non-dairy milk to use for baking?"": 0.09953979676117225, ""What would be second best milk to use in baking?"": 0.09941987586350644, ""What would be second best?"": 0.09846727801179683, ""What would be the second best milk substitute for soy milk?"": 0.09754089278316581, ""What would be second best to soy milk in baking?"": 0.09734095873883601}"
