query_id,manual_recip_rank,delta_recip_rank,manual_recall_1000,delta_recall_1000,manual_ndcg_cut_3,delta_ndcg_cut_3,raw_query,automatic_query,manual_query
117_3,1.0,0.0,1.0,0.0,0.7654,0.2961,What's an example of those reasons?,What's an example of Nigerian police officers searching phones at random and detaining people for outrageous reasons?,What's an example of the reasons why (Special Anti-Robbery Squad) SARS officers detain people?
127_8,1.0,0.5,0.7368,0.05259999999999998,0.6261,0.2819,You also mentioned rain gardens earlier. How do they compare?,How do rain gardens compare to residential rain gardens?,You mentioned rain gardens earlier. How do they compare to rain barrels?
116_8,1.0,0.5,0.5238,-0.09519999999999995,0.568,0.2719,Did Biblical poetry have a similar impact?,Did Biblical poetry have a similar impact?,Did Biblical poetry have a similar impact on other kinds of religious poetry?
111_3,0.5,0.4821,1.0,0.0,0.648,0.26530000000000004,How fast can the unmodified base car go?,How fast can the unmodified base car of Hennessey Venom GT go?,How fast can the unmodified base Lotus Elise/Exige go?
125_3,1.0,0.5,1.0,0.0,0.8303,0.25450000000000006,Has that been effective?,Has the photos of goliath frogs with people at Queensland Frog Society been effective?,Has the Equatorial Guinean government's conservation measures to protect Goliath frogs been effective?
121_2,1.0,0.5,0.625,-0.125,0.7039,0.25139999999999996,What caused the drought?,What caused the drought in Brazil last month?,What caused the drought in Brazil’s coffee belt region?
106_2,0.5,0.4773,0.8788,0.5455000000000001,0.2961,0.23739999999999997,"Once it breaks out, how likely is it to spread?","Once the cancer breaks out, how likely is it to spread?","Once it breaks out, how likely is lobular carcinoma breast cancer to spread?"
131_5,1.0,0.0,1.0,0.0,0.81,0.21500000000000008,Which type is better in terms of efficiency?,Which type of heat pump is better in terms of efficiency?,"Which type of heat pump is better in terms of efficiency, a geothermal heat pump or an air-source heat pump?"
115_9,1.0,0.0,0.9,0.0,0.9501,0.1883999999999999,Hmm. What has the Alliance done to help?,What has the National Alliance on Mental Illness done to help people with mental illness?,Hmm. What has the National Alliance on Mental Illness done to help people with mental illness in America?
112_6,1.0,0.5,0.8947,0.10520000000000007,0.75,0.17600000000000005,What is the NFL policy?,What is the NFL policy regarding steroid use?,What is the NFL policy about steroids?
all,0.7326,0.17510000000000003,0.7729,0.14100000000000001,0.5611,0.16390000000000005,,,
115_10,0.0,0.0,0.0,0.0,0.1597,0.1597,I found the Indian student's approach to treating depression interesting. Have their approaches been tried elsewhere?,Have the Indian student's approaches to treating depression been tried elsewhere?,I found the Indian student's approach to treating depression through social support and spiritual reflection or relaxation interesting. Have their approaches been tried elsewhere?
116_5,0.0,0.0,0.0,0.0,0.1597,0.1597,Okay. How does the use of rhyme in Biblical poetry compare?,Okay. How does the use of rhyme in Biblical poetry compare to today?,Okay. How does the use of rhyme in Biblical poetry compare to the use of rhyme in Islamic poetry?
107_7,1.0,0.0,0.9722,0.0,1.0,0.14800000000000002,Really? What about asphalt?,What about asphalt driveways?,Really? How long does an asphalt driveway last?
115_8,0.5,-0.5,0.7778,0.0,0.5249,0.14480000000000004,What about the causes in North America?,What about the causes of mental illness in North America?,What about the causes of mental health stigmatisation in North America?
121_1,0.25,-0.08329999999999999,1.0,0.0,0.3987,0.13290000000000002,I remember there was a global coffee shortage some time ago. Can you tell me more about that?,Can you tell me more about the global coffee shortage?,I remember there was a global coffee shortage some time ago. Can you tell me more about that?
121_4,1.0,0.0,0.8571,0.0,0.8647,0.11750000000000005,It sounds like they are not related. What are its origins? And how did it spread?,What are the origins of coffee rust in Brazil? And how did it spread?,It sounds like the reduction in coffee production in Latin America and the drought in Brazil are not related. What are the origins of coffee rust? And how did it spread?
124_10,1.0,0.5,0.8605,0.11630000000000007,0.6327,0.11730000000000007,How do the evolution of dinosaurs across the three periods compare?,How do the evolution of dinosaurs across the three periods compare?,How do the evolution of dinosaurs across the three periods in the Mesozoic era compare?
116_7,0.0435,-0.0232,0.8333,0.16660000000000008,0.1173,0.1173,"Ahh, it seems like rhyming and parallelism share similar functions. How did both types of poetry influence other kinds of poetry?",How did rhyming and parallelism influence other kinds of poetry?,"Ahh, it seems like rhyming and parallelism share similar functions. How did Islamic and Biblical poetry influence other kinds of poetry?"
124_5,0.2,0.19690000000000002,0.4545,0.36360000000000003,0.1173,0.1173,That's really cool. Could such a continent form again?,What is the age of dinosaurs on earth like?,That's really cool. Could such a huge continent like Pangaea form again?
112_7,0.5,0.5,1.0,1.0,0.3547,0.10470000000000002,Isn’t that speed?,Isn’t that speed with which the Ravens are without Haloti Ngata?,Is Adderall Speed?
118_8,1.0,0.0,0.6452,0.1613,0.8436,0.09870000000000001,How do I become a vet?,How do I become a vet?,How do I become a veterinarian?
111_8,1.0,0.5,1.0,0.37039999999999995,0.852,0.08660000000000001,"No, I meant the funny car.  But, that’s interesting. I heard it has a ludicrous mode. How does its quickness compare to the Venom?",How does the Tesla Roadster Sport's quickness compare to the Venom?,"No, I meant the funny car.  But, that’s interesting. I heard it has ludicrous mode.  How does the Tesla Roadster Sport’s quickness compare to the Hennessey Venom GT?"
108_7,0.5,0.0,0.9375,0.5,0.5535,0.08479999999999999,That sounds like organic farming.  How are they related?,How are organic farming and agroecology related?,"Permaculture sounds like organic farming, how are they related?"
107_6,0.3333,0.08329999999999999,0.9062,0.0,0.4115,0.07819999999999999,And most low-maintenance?,And most low-maintenance driveways?,Which type of driveway is the most low-maintenance?
108_5,0.5,0.0,0.973,0.054099999999999926,0.5089,0.06770000000000004,Can it cause desertification?,Can fire cause desertification?,Can agriculture cause desertification?
131_7,1.0,0.0,0.96,0.0,0.3739,0.06230000000000002,That’s great. What makes it so efficient?,What makes geothermal heat pumps so efficient?,That’s great. What makes a geothermal heat pump so efficient?
121_7,0.5,0.16670000000000001,0.6667,0.0,0.4134,0.030700000000000005,Okay. What did big coffee companies do? How did they try to help?,What did big coffee companies do to help with the global coffee rust epidemic?,Okay. What did big coffee companies do? How did they try to help with the coffee rust epidemic?
127_2,1.0,0.5,0.7,-0.10000000000000009,0.4693,0.01679999999999998,What practices could I use at home to help?,What practices could I use at home to reduce the effects of urban runoff?,What best management practices could I use at home to reduce runoff?
112_4,0.5,-0.5,0.7895,-0.10520000000000007,0.5894,0.0028000000000000247,Are there visible signs?,Are there visible signs of anabolic steroids being banned in the US?,Are there visible signs that someone is using steroids?
124_3,1.0,0.0,0.625,0.0,0.8231,0.0,Can you tell me more about the fossil records and the theory?,Can you tell me more about the fossil records and the theory of plate tectonics?,Can you tell me more about the fossil records and the theory of plate tectonics?
125_2,1.0,0.0,1.0,0.0,0.8148,0.0,What's been done to protect them?,What's been done to protect Goliath frogs?,What has been done to protect Goliath frogs?
107_8,1.0,0.0,1.0,0.07689999999999997,1.0,0.0,Is sealing worth it?,Is sealing a driveway worth it?,Is sealing an asphalt driveway worth it?
125_4,1.0,0.0,0.3889,0.05560000000000004,0.4693,0.0,How can I help?,How can I help the conservation of Goliath frogs?,How can I help with protecting Goliath frogs?
127_1,1.0,0.0,0.9268,0.0,0.8436,0.0,Why is it important to reduce runoff in urban areas?,Why is reducing runoff in urban areas important?,Why is it important to reduce runoff in urban areas?
108_1,1.0,0.0,0.8929,0.0,0.7971,0.0,How can fires help an ecosystem?,How can fires help an ecosystem?,How can fires help an ecosystem?
108_8,1.0,0.0,0.8696,0.0,0.8827,0.0,"Does organic farming reduce global warming, and if so, how?","Does organic farming reduce global warming, and if so, how?","Does organic farming reduce global warming, and if so, how?"
121_5,0.0,0.0,0.0,0.0,0.0,0.0,Okay. The US government tried to help the situation. What did they do to help?,What did the US government do to help So Paulo?,Okay. The US government tried to help eliminate the fungus in order to prevent the economic situation of Latin American countries from deteriorating. What did they do to help?
125_1,1.0,0.0,0.4783,-0.34779999999999994,1.0,0.0,I’d like to learn more about frogs. What’s the biggest one?,What’s the biggest frog in the world?,I’d like to learn more about frogs. What’s the biggest one?
113_8,0.25,0.0,0.5517,0.13789999999999997,0.0,0.0,It sounds like it could be used in many places. What other types of organisms has it been tried on?,What other types of organisms has CRISPR been tried on besides humans?,"It sounds like it could be used in many places. What types of organisms besides humans, mosquitos, mice, and microbes has gene editing been tried on?"
110_1,1.0,0.0,0.5455,0.0,0.7067,0.0,What are the benefits of cow milk?,What are the benefits of cow milk?,What are the benefits of cow milk?
106_3,0.1667,0.08339999999999999,0.8,0.5,0.0,0.0,How deadly is it?,How deadly is LCIS?,How deadly is lobular carcinoma in situ?
106_4,1.0,0.0,1.0,0.0,0.4693,0.0,"What? No, I want to know about the deadliness of lobular carcinoma in situ.",What is the deadliness of lobular carcinoma in situ?,"What? No, I want to know about the deadliness of lobular carcinoma in situ."
131_3,0.25,0.0,0.8889,0.0,0.0,0.0,What are the pros and cons between a gas furnace and a heat pump?,What are the pros and cons between a gas furnace and a heat pump?,What are the pros and cons between a gas furnace and a heat pump?
106_5,0.5,0.0,1.0,0.0,0.3394,0.0,"Wow, that's better than I thought.  What are common treatments?",What are common treatments for lobular carcinoma in situ?,"Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?"
129_7,1.0,0.0,0.9231,0.0,0.7654,0.0,Does this theory explain the cause of depression?,Does the catecholamine theory of mood explain the cause of depression?,Does the catecholamine theory explain the cause of depression?
129_5,1.0,0.0,0.9649,-0.01760000000000006,1.0,0.0,How does the phenylalanine convert to tyrosine?,How does the phenylalanine convert to tyrosine in the brain?,How does the phenylalanine convert to tyrosine?
127_5,1.0,0.0,0.8333,0.0,0.9218,0.0,That sounds like a lot of water. How big are normal barrels? And what material should I get? What are the pros and cons of different materials?,What are the pros and cons of different materials for a rain barrel?,What are the pros and cons of different rain barrel materials?
129_4,1.0,0.0,0.9394,0.030299999999999994,1.0,0.0,What foods boost it?,What foods boost dopamine production?,What foods boost dopamine?
129_1,1.0,0.0,0.5952,0.0,0.6453,0.0,What are the mechanisms of depression?,What are the mechanisms of depression?,What are the mechanisms of depression?
106_8,0.0208,0.005899999999999999,1.0,0.6,0.0,0.0,"For the first stage, what are the alternatives to surgery?","For the first stage of IdC, what are the alternatives to surgery?","For the first stage, what are the alternatives to surgery for invasive lobular cancer?"
107_1,0.5,0.0,0.9677,0.0,0.648,0.0,How do I build a cheap driveway?,How do I build a cheap driveway?,How do I build a cheap driveway?
128_1,0.25,0.0,0.5172,0.0,0.1913,0.0,What’s the science behind why we drink alcohol?,What’s the science behind why we drink alcohol?,What’s the science behind why we drink alcohol?
107_2,1.0,0.0,0.9706,0.0,0.926,0.0,Which is cheaper: concrete or asphalt?,Which is cheaper: concrete or asphalt driveways?,Which is cheaper way to build a driveway: concrete or asphalt?
127_7,1.0,0.0,0.8621,0.0,1.0,0.0,What else should I consider when installing it?,What else should I consider when installing a rain barrel other than the size and materials?,What else should I consider when installing a rain barrel?
129_2,1.0,0.0,0.9268,0.0,0.648,0.0,What is the role of serotonin?,What is the role of serotonin in depression?,What is the role of serotonin in depression?
127_6,1.0,0.0,0.9189,0.08110000000000006,0.8591,0.0,Is it safe to use on my garden?,Is a rain barrel safe to use on my garden?,Is the collected water from a rain barrel safe enough to water my garden?
121_6,0.0526,-0.1974,0.5,0.0,0.0,0.0,"No, I want to know what they did to help with the coffee rust epidemic in Latin America.",What did the Greater Washington initiative do to help with the coffee rust epidemic in Latin America?,"No, I want to know what the United States did to help with the coffee rust epidemic in Latin America."
119_8,1.0,0.0,0.6087,-0.21739999999999993,0.81,0.0,How can I protect them?,How can I protect my dog from the coronavirus infection?,How can I protect my pets from the coronavirus?
115_1,0.5,0.0,0.7895,0.0,0.5307,0.0,How are mental health disorders perceived and addressed around the world?,How are mental health disorders perceived and addressed around the world?,How are mental health disorders perceived and addressed around the world?
115_11,0.0,0.0,0.0,0.0,0.0,0.0,Can you tell me more about Chibanda's approach? How effective has it been?,Can you tell me more about Chibanda's approach to treating mental illness? How effective has it been?,Can you tell me more about Chibanda's approach to treating mental illness? How effective has it been?
113_1,0.1111,0.0,0.5,0.0,0.1913,0.0,How do genes work?,How do genes work?,How do genes work?
115_5,0.3333,0.0,0.7143,-0.14279999999999993,0.31,0.0,"Okay. Now, what about the causes in Asia?",Okay. Now what about the causes of mental illness in Asia?,"Okay. Now, what about the causes of mental health stigma in Asia?"
116_1,1.0,0.0,0.8667,0.0,0.6667,0.0,How are literary devices used in Biblical poetry?,How are literary devices used in Biblical poetry?,How are literary devices used in Biblical poetry?
116_2,1.0,0.0,1.0,0.0,1.0,0.0,That's interesting. How is it defined?,How is Christian poetry defined?,That's interesting. How is Christian poetry defined?
117_1,1.0,0.0,1.0,0.0,1.0,0.0,A friend said there were massive protests in Nigeria towards the end of 2020. What happened?,What happened when a friend said there were massive protests in Nigeria towards the end of 2020?,A friend said there were massive protests in Nigeria towards the end of 2020. What happened?
131_9,0.1111,0.0,0.3182,0.0,0.0,0.0,Tell me about AC systems.,Tell me about AC systems.,Tell me about AC systems.
117_2,0.25,0.16670000000000001,1.0,0.0,0.0,0.0,Why was the Squad established in the first place?,Why was the Squad of Nigerian federal police established in the first place?,Why was the Special Anti-Robbery Squad (SARS) established in the first place?
117_8,1.0,0.0,1.0,0.0,0.63,0.0,That's cool. Tell me more about them.,What is the Feminist Coalition?,That's cool. Tell me more about the Feminist Coalition.
111_6,1.0,0.0,0.875,0.125,0.81,0.0,What is the origin of funny cars? Why do they call them that?,What is the origin of funny cars? Why do people call them that?,What is the origin of funny cars? Why do they call them funny cars?
118_3,1.0,0.0,1.0,0.0,0.3827,0.0,How can I get a degree in it?,How can I get a degree in fashion design?,How can I get a fashion design degree?
118_5,0.25,0.08330000000000001,0.5,-0.5,0.0,0.0,What are the common entry requirements for the degree?,What are the common entry requirements for the degree in fashion design?,What are the common entry requirements for a Bachelor of Fine Arts program?
117_10,0.01,-0.15669999999999998,1.0,0.5,0.0,0.0,What role did women play in that?,What role did women play in #EndSARS protests?,What role did women play in the BlackLivesMatter protests?
119_5,0.0385,-0.052399999999999995,0.2,-0.2,0.0,0.0,My cat is also having similar symptoms. Would that work for her as well?,How can I treat dog swollen ear at home?,My cat is also having similar symptoms to my dog. Would the home remedy work for her as well?
119_7,1.0,0.0,0.9444,0.055499999999999994,0.4911,0.0,"Okay, but I also heard that a few have been reported to be infected.",I also heard that a few dogs have been reported to be infected with the coronavirus.,"Okay, but I also heard that a few animals have been reported to be infected with the coronavirus."
118_7,1.0,0.0,0.6765,0.0,1.0,0.0,Not quite. I want to know about career opportunities related to animals.,I want to know about career opportunities related to animals.,Not quite. I want to know about career opportunities related to animals.
110_6,0.1,0.04440000000000001,0.5,0.0,0.0,0.0,Oat seems popular now.  Why?,Why does oat seem popular now?,Oat seems popular now.  Why?
110_5,1.0,0.0,1.0,0.0,0.852,0.0,Can I make it at home?,Can I make soy milk at home?,Can I make soy milk at home?
124_11,1.0,0.0,0.7391,-0.04349999999999998,0.7244,-0.020499999999999963,That's interesting. How scientifically accurate was the movie?,How scientifically accurate was the movie Jurassic Park?,That's interesting. How scientifically accurate was the first Jurassic Park movie?
119_4,1.0,0.5,0.8182,-0.09089999999999998,0.5772,-0.03259999999999996,I live in a remote area. How can I treat it at home?,How can I treat dog swollen ear at home?,I live in a remote area. How can I treat my dog’s ear infection at home?
116_3,1.0,0.5,1.0,0.0,0.69,-0.049800000000000066,How did those traditions affect them?,How did traditions of Greek and Latin poetry affect Christian poets?,How did the existing traditions of Greek and Latin poetry affect Christian Poets?
106_6,1.0,0.0,0.5,-0.16669999999999996,0.4693,-0.05860000000000004,How does it behave differently from PLCIS?,How does LCIS behave differently from ALH and LCIS?,How does LCIS behave differently from PLCIS?
111_5,0.0769,-0.9231,0.875,-0.125,0.2605,-0.05890000000000001,Can any go over 300 mph?,Can the Venom GT go over 300 mph?,Can any super car go over 300 mph?
108_2,0.5,-0.5,0.4074,-0.1482,0.4687,-0.06259999999999999,Give me some examples.,Give me some examples of how fires help an ecosystem.,Give me some examples of organisms that have adapted to exploit natural wildfire.
118_2,1.0,0.0,1.0,0.0,0.7654,-0.07820000000000005,Becoming a fashion designer sounds interesting. What's the job outlook?,What's the job outlook for Becoming a fashion designer?,Becoming a fashion designer sounds interesting. What's the job outlook?
119_3,1.0,0.0,1.0,0.4074,0.6667,-0.07820000000000005,How dangerous could these be?,How dangerous could dog hematomas be?,How dangerous could the inflammation or canine ear hematoma in my dog’s ears be?
131_2,1.0,0.0,0.8276,0.0,0.3902,-0.0786,What are some other choices to heat my home?,What are some other choices to heat my home in Brazos Valley besides a heat pump?,What are some other choices besides a heat pump to heat my home?
125_5,0.5,-0.5,1.0,0.045499999999999985,0.5443,-0.08209999999999995,"Okay, that’s the biggest.  What is the smallest?","Okay, that’s the biggest goliath frog. What is the smallest?",What is the smallest frog?
107_5,0.5,-0.5,0.75,0.0,0.5535,-0.08489999999999998,No.  Which type of driveway is better for the environment?,Which type of driveway is better for the environment?,No. Which type of driveway is better for the environment?
111_1,1.0,0.0,0.4182,-0.29089999999999994,0.7794,-0.08530000000000004,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?",What is the world’s fastest car?,"I saw a Tesla Roadster today which made me wonder, what is the world’s fastest car?"
124_2,1.0,0.0,0.8197,-0.1311,0.3827,-0.10189999999999999,Hmm. What else was characteristic about that era?,What else was characteristic about the Mesozoic Era besides dinosaurs living up to the end of the Cretaceous period?,Hmm. What else was characteristic about the Mesozoic Era asides the existence of Dinosaurs?
116_4,0.0345,-0.2155,0.3,-0.6000000000000001,0.1173,-0.1173,That's interesting about Christianity. How are devices used in Islamic ones?,How are devices used in Islamic poetry?,That's interesting about Christianity. How are literary devices used in Islamic poetry?
108_6,0.3333,-0.6667000000000001,0.6667,0.0,0.4693,-0.11730000000000002,What does it mean to be tired?,What does desertification mean to be tired?,What does it mean for soil to be tired?
131_8,1.0,0.0,1.0,0.0,0.6173,-0.11730000000000007,Cool science. But I’ve heard some horror stories about air-source ones.,I’ve heard some horror stories about air-source heat pumps.,Cool science. But I’ve heard some horror stories about air-source heat pumps.
115_3,0.5,0.0,1.0,0.0,0.5307,-0.11730000000000007,Could you expand on some of these methods?,Could you expand on some of the traditional methods of treating mental illness in Southeast Africa?,Could you expand on some of these Southeast African traditional and cultural methods of dealing with mental health issues?
112_1,1.0,0.0,0.8889,0.0,0.4413,-0.13269999999999993,What’s the history of steroid use in sports in the US?,What’s the history of steroid use in sports in the US?,Utterance: What’s the history of steroid use in sports in the US?
119_6,1.0,0.0,0.7778,-0.11109999999999998,0.5089,-0.1352,Thanks. I am also worried that they are susceptible to the coronavirus.,I am also worried that cats are susceptible to the coronavirus.,Thanks. I am also worried that my pets are susceptible to the coronavirus.
131_10,1.0,0.0,0.8235,0.0,0.4065,-0.17070000000000007,How is it different from a heat pump?,How is an AC compressor different from a heat pump?,How is an AC system different from a heat pump?
