conversation_id	turn_id	id	query	original	sparse	turn_leaf_id
142	1-1	142_1-1	What should I know about Argentina? Specifically, I'd like to know about Buenos Aires and its unique culture.	What should I know about Argentina? Specifically, I'd like to know about Buenos Aires and its unique culture.		142_4-1
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina? The city of Portenos		142_4-1
142	4-1	142_4-1	Are you interested in the modern culture of buenos aires?	What are Buenos Aires’ boites known for? Are you interested in the modern culture of buenos aires?		142_4-1
142	1-1	142_1-1	What should I know about Argentina? I want to know about the culture of Argentina and its capital, Buenos Aires.	What should I know about Argentina? I want to know about the culture of Argentina and its capital, Buenos Aires.		142_6-3
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina? I'd like to compare Buenos Aires's culture to other cities in Argentina.		142_6-3
142	2-2	142_2-2	What makes Buenos Aires’ culture distinct from the rest of the country?	What makes Buenos Aires’ culture distinct from the rest of the country?		142_6-3
142	2-4	142_2-4	What’s Merienda in relation to Argentina?	What’s Merienda in relation to Argentina?		142_6-3
142	6-1	142_6-1	How do I prepare yerba mate, the tea in Argentina?	How do I make merienda in Argentina? No, I want to prepare yerba mate, the tea.		142_6-3
142	6-3	142_6-3	Do you want to know the history of mate in Argentina?	I meant merienda in relation to Argentina. Do you want to know the history of mate?		142_6-3
142	1-1	142_1-1	What should I know about Argentina? I want to hear about popular Argentinian meat dishes.	What should I know about Argentina? I want to hear about popular Argentinian meat dishes.		142_8-1
142	5-1	142_5-1	What is the best place to eat in Argentina?	What is the best place to eat in Argentina? No, I want to know about Chile's cuisine.		142_8-1
142	5-3	142_5-3	What are some popular dishes in Argentina?	What are some popular dishes in Argentina?		142_8-1
142	8-1	142_8-1	Would you like to find restaurants that serve popular Chilean dishes containing meat?	How about in Chile? Would you like to find restaurants that serve popular Chilean dishes containing meat?		142_8-1
142	1-1	142_1-1	What should I know about Argentina? I want to hear about popular Argentinian meat dishes.	What should I know about Argentina? I want to hear about popular Argentinian meat dishes.		142_9-1
142	1-3	142_1-3	What makes Buenos Aires the capital of Argentina?	What makes Buenos Aires the capital of Argentina?		142_9-1
142	2-2	142_2-2	What makes Buenos Aires’ culture distinct from the rest of the country?	What makes Buenos Aires’ culture distinct from the rest of the country? Yes, I would like to know the modern culture of Buenos Aires, particularly about the Portenos District.		142_9-1
142	2-4	142_2-4	What’s Merienda in relation to Argentina?	What’s Merienda in relation to Argentina?		142_9-1
142	9-1	142_9-1	What makes Argentina unique?	What makes Argentina unique?		142_9-1
142	1-1	142_1-1	What should I know about Argentina?	What should I know about Argentina?		142_5-9
142	5-1	142_5-1	What is the best place to eat in Argentina?	What is the best place to eat in Argentina? Do you want to know more about Argentina's cuisine?		142_5-9
142	5-3	142_5-3	What are some popular dishes in Argentina?	What are some popular dishes in Argentina?		142_5-9
